combination,trades,down_rate,stop_rate
Close near BB_upper & Close near BB_lower & Vol<Vol20 & %D<80 & J<100 & ROC3↑ & ROC8↑,153,0.3790849673202614,0.3856209150326797
ROC_3>0 & ROC_5>0 & MA20↑ & %D<80 & J<100,182,0.3791208791208791,0.3626373626373626
ROC_5>0 & |RSI14-50|<10 & Close near BB_upper & Close near BB_lower & ROC3↑,174,0.3793103448275862,0.3793103448275862
MA20↑ & Close>MA20 & OBV↑ & Vol<Vol20 & ROC8↑,195,0.3794871794871794,0.3846153846153846
MA20↑ & Close>MA20 & OBV↑ & Vol<Vol20 & Close>VWAP20 & ROC8↑,195,0.3794871794871794,0.3846153846153846
MA20↑ & Close>MA20 & OBV↑ & Vol<Vol20 & %K>20 & ROC8↑,195,0.3794871794871794,0.3846153846153846
MA20↑ & MA10↑ & OBV↑ & Vol<Vol20 & J<100 & ROC8↑,166,0.3795180722891566,0.3674698795180723
MA20↑ & MA10↑ & OBV↑ & Vol<Vol20 & %K>20 & J<100 & ROC8↑,166,0.3795180722891566,0.3674698795180723
ROC_1>0 & ROC_5>0 & MA10↑ & Close>MA20 & %D<80 & J<100 & ROC5↑ & ROC8↑,166,0.3795180722891566,0.3734939759036144
Close>MA20 & Close near BB_lower & OBV↑ & ROC8↑,158,0.379746835443038,0.3734177215189873
Close>MA20 & Close near BB_upper & Close near BB_lower & OBV↑ & ROC8↑,158,0.379746835443038,0.3734177215189873
Close>MA20 & Close near BB_lower & OBV↑ & CMO>0 & ROC8↑,150,0.38,0.3666666666666666
Close>MA20 & Close near BB_upper & Close near BB_lower & OBV↑ & CMO>0 & ROC8↑,150,0.38,0.3666666666666666
MA20↑ & Close>MA20 & |RSI14-50|<10 & OBV↑ & ROC3↑ & ROC8↑,171,0.3801169590643274,0.3567251461988304
ROC_1>0 & ROC_5>0 & MA20↑ & %D<80 & J<100 & ROC8↑,163,0.3803680981595092,0.3558282208588957
ROC_1>0 & ROC_5>0 & MA20↑ & OBV↑ & Vol<Vol20 & ROC3↑ & ROC8↑,155,0.3806451612903225,0.3290322580645161
ROC_5>0 & MA20↑ & Close>MA20 & %D<80 & J<100 & ROC8↑,155,0.3806451612903225,0.3290322580645161
ROC_1>0 & ROC_5>0 & Close near BB_middle & Close near BB_lower & %D<80 & J<100 & ROC3↑ & ROC8↑,155,0.3806451612903225,0.3483870967741935
OBV↑ & Vol<Vol20 & J<100 & DIF>DEA & ROC8↑,155,0.3806451612903225,0.3612903225806451
OBV↑ & Vol<Vol20 & J<100 & Hist>0 & ROC8↑,155,0.3806451612903225,0.3612903225806451
OBV↑ & Vol<Vol20 & J<100 & DIF>DEA & Hist>0 & ROC8↑,155,0.3806451612903225,0.3612903225806451
ATR14>ATR50 & Close near BB_upper & Close>VWAP20,155,0.3806451612903225,0.3870967741935484
ROC_3>0 & ROC_5>0 & MA20↑ & Close>MA20 & %D<80 & J<100 & CMO>0 & ROC3↑,155,0.3806451612903225,0.3870967741935484
MA20↑ & OBV↑ & Vol<Vol20 & Close>VWAP20 & ROC8↑,197,0.3807106598984771,0.3807106598984771
ROC_3>0 & ROC_5>0 & Close>MA50 & Vol<Vol20 & ROC5↑ & ROC8↑,168,0.3809523809523809,0.3869047619047619
ROC_1>0 & ROC_5>0 & MA20↑ & Close>MA20 & Vol<Vol20 & ROC3↑ & ROC8↑,160,0.38125,0.3375
MA20↑ & Close>MA20 & |RSI14-50|<10 & OBV↑ & Vol<Vol20 & ROC8↑,160,0.38125,0.375
ROC_1>0 & ROC_5>0 & |RSI14-50|<10 & Close near BB_upper & Close near BB_lower & ROC5↑ & ROC3↑,160,0.38125,0.3875
MA20↑ & Close>MA20 & Close near BB_upper & OBV↑ & Vol<Vol20 & ROC8↑,194,0.3814432989690721,0.3865979381443299
ROC_1>0 & |RSI14-50|<10 & Close near BB_upper & Close near BB_lower & CMO>0 & ROC3↑,173,0.3815028901734104,0.3526011560693641
ROC_3>0 & ROC_5>0 & MA20↑ & %D<80 & J<100 & ROC3↑ & ROC8↑,152,0.3815789473684211,0.3486842105263157
Close near BB_upper & Close near BB_lower & OBV↑ & %D<80 & J<100 & ROC3↑,152,0.3815789473684211,0.3618421052631579
Close>MA20 & Close near BB_middle & Close near BB_lower & OBV↑ & ROC8↑,152,0.3815789473684211,0.3815789473684211
MA20↑ & OBV↑ & %D<80 & J<100 & ROC3↑ & ROC8↑,152,0.3815789473684211,0.3815789473684211
ROC_1>0 & ROC_3>0 & Close>MA50 & MA20↑ & OBV↑ & Vol<Vol20 & CMO>0 & ROC8↑,165,0.3818181818181818,0.3757575757575757
ROC_3>0 & ROC_5>0 & Close>MA50 & MA20↑ & OBV↑ & Vol<Vol20 & CMO>0 & ROC8↑,165,0.3818181818181818,0.3757575757575757
ROC_1>0 & MA20↑ & OBV↑ & Vol<Vol20 & ROC8↑,199,0.3819095477386934,0.3819095477386934
